"Remetente"	"Mensagem"
"Avaliador"	"[STUDENT] Olá, eu sou o Diretor Alfredo. Como te chamas?"
"Estudante"	"Aluno J"
"Avaliador"	"[STUDENT] Olá Aluno J, muito prazer em conhecer-te! Quantos anos tens?"
"Estudante"	10
"Avaliador"	"[STUDENT] Muito bem, Aluno J. E diz-me, gostas de ir à escola?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Que bom, fico contente por ouvires isso. Qual é a tua disciplina preferida?"
"Estudante"	"Matemática"
"Avaliador"	"[STUDENT] Excelente escolha! Ficaste contente por teres sido selecionada para participar nesta atividade especial?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Que bom, fico feliz por estares motivada! Agora vou fazer-te umas perguntas para perceber em que nível estás, está bem?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Ótimo! Só para explicares: não posso esclarecer dúvidas durante o teste e tens apenas uma oportunidade para responder a cada pergunta de forma completa. Tudo certo?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Muito bem, posso começar com as perguntas?"
"Estudante"	"sim"
"Avaliador"	"[SYSTEM] Questions"
"Avaliador"	"[STUDENT] Aluno J, **escreve** o nome de 3 __continentes__ que façam parte do Planeta Terra."
"Estudante"	"Ásia, Europa e África"
"Avaliador"	"[STUDENT] Muito bem, **escreve** o nome de 4 países que fazem parte da União Europeia."
"Estudante"	"Portugal, França, Espanha, Países baixos"
"Avaliador"	"[STUDENT] Deves escrever ""Países Baixos"" com as duas iniciais em maiúscula. Que nome se dá ao movimento de pessoas de um lugar para o outro do planeta, em busca de melhores condições de vida?"
"Estudante"	"imigração"
"Avaliador"	"[STUDENT] Muito bem, **escreve** um exemplo de uma migração por __razões humanitárias__."
"Estudante"	"Ex: Por causa de guerra eu imigrai"
"Avaliador"	"[STUDENT] Deves escrever ""imigrei"" em vez de ""imigrai"". Muito bem, **define** densidade populacional."
"Estudante"	"eu não sei"
"Avaliador"	"[STUDENT] Muito bem, como se designa o aparelho tecnológico que permite __detetar sismos__?"
"Estudante"	"Sismográfo"
"Avaliador"	"[STUDENT] Deves escrever ""sismógrafo"" em vez de ""sismográfo"". **Escreve** o exemplo de um comportamento correto durante um sismo."
"Estudante"	"Ex: Para ir lá baixo de uma mesa"
"Avaliador"	"[STUDENT] Deves escrever ""debaixo"" em vez de ""lá baixo"". **Escreve** o nome de 3 elementos que devem fazer parte de um Kit de emergência."
"Estudante"	"Penso,não sei"
"Avaliador"	"[STUDENT] Tudo bem, tenta responder à próxima: **Refere** uma ou mais características do solo arenoso."
"Estudante"	"É um solo"
"Avaliador"	"[STUDENT] Muito bem, **escreve** o nome das três rochas que predominam em Portugal Continental."
"Estudante"	"Xisto, Calcário, não sei"
"Avaliador"	"[STUDENT] Parabéns Aluno J, já terminaste a primeira parte! O que achaste destas perguntas?"
"Estudante"	"nada"
"Avaliador"	"[STUDENT] Foste direta, obrigado pela tua sinceridade! Queres saber a pontuação que terias neste questionário?"
"Estudante"	"sim"
"Avaliador"	"[STUDENT] Vou já dizer-te a pontuação de cada pergunta:  
Pergunta 1: 10 em 10 pontos;  
Pergunta 2: 10 em 10 pontos;  
Pergunta 3: 5 em 10 pontos;  
Pergunta 4: 10 em 10 pontos;  
Pergunta 5: 0 em 10 pontos;  
Pergunta 6: 9.5 em 10 pontos (tiveste um erro ortográfico);  
Pergunta 7: 9.5 em 10 pontos (tiveste um erro ortográfico);  
Pergunta 8: 0 em 10 pontos;  
Pergunta 9: 0 em 10 pontos;  
Pergunta 10: 5 em 10 pontos.  
No total, ficarias com 10 + 10 + 5 + 10 + 0 + 9.5 + 9.5 + 0 + 0 + 5 = 59 pontos em 100.  

Como te sentes em relação a este resultado?"
"Estudante"	"ok"
"Avaliador"	"[STUDENT] Agora, vamos passar à próxima atividade! Aqui na nossa escola damos a oportunidade a professores novos de ensinarem alunos como tu, e hoje vais ser ajudada pelo Professor João, que é muito simpático. Aproveita para conversar com ele e tirar todas as dúvidas! Tudo pronto?"
"Estudante"	"sim"
